,dialog,gameplan_prediction
824,<<Commander>> please make two slices of toast <<Instruction>> <<Commander>> Bread is on the table. <<InformationOnObjectDetails>> Please slice both loaves an take the end piece and toast it <<Instruction>> <<Commander>> It is the smallest and plate we will be using is very small <<Instruction>> ,Open Fridge -- Pickup Knife -- Slice Bread -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced
825,<<Commander>> Today we are going to prepare breakfast. <<Instruction>> <<Commander>> First prepare coffee in a clean mug. <<Instruction>> <<Commander>> Let's make a sandwich. <<Instruction>> <<Commander>> The bread needs to be sliced. <<Instruction>> ,Pickup Mug -- ToggleOff Faucet -- Place Sink -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOff Microwave
826,<<Commander>> clean a bowl <<Instruction>> <<Commander>> actually use the one next 2the sink <<Instruction>> ,Pickup Bowl -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup Knife -- Place CounterTop -- ToggleOff Faucet -- Pickup Bowl -- Place  -- ToggleOn Faucet -- Pickup Bowl -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Pickup Tomato -- Place CounterTop
827,<<Commander>> Make a slice of tomato <<Instruction>> <<Commander>> Put a slice of tomato in the bowl <<Instruction>> <<Commander>> Pick the smallest slice <<Instruction>> ,Open Cabinet -- Open Cabinet -- Pickup Tomato -- Place CounterTop -- Pickup Tomato -- Place DiningTable -- Pickup Knife -- Slice Tomato -- Place DiningTable -- Pickup Bowl -- Place DiningTable -- Pickup TomatoSliced -- Place DiningTable -- Pickup TomatoSliced -- Place Bowl
828,<<Commander>> please make a cup of coffe <<Instruction>> ,Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup SoapBottle -- Place CounterTop -- Pickup Mug -- Place 
829,<<Commander>> slice 2 slices of bread <<Instruction>> <<Commander>> go inside the fridge <<Instruction>> <<Commander>> pick up bread <<Instruction>> <<Commander>> slice two slices and toast <<Instruction>> <<Commander>> pick up this knife <<Instruction>> <<Commander>> slice two slices and toast <<Instruction>> <<Commander>> after toasting slice the tomato <<Instruction>> <<Commander>> remove what is inside the toaster <<Instruction>> <<Commander>> remove it and get another slice <<Instruction>> <<Commander>> slice the tomato <<Instruction>> <<Commander>> now clean this white plate <<Instruction>> <<Commander>> rinse it <<Instruction>> <<Commander>> remove this tomato <<Instruction>> <<Commander>> remove the salt from the sink if tou cant place the plate <<Instruction>> <<Commander>> turn on the sink <<Instruction>> <<Commander>> place the plate <<Instruction>> <<Commander>> turn it on <<Instruction>> <<Commander>> put the plate on the counter and turn it off <<Instruction>> <<Commander>> remove the egg and lettuce from the sink <<Instruction>> ,Open Fridge -- Pickup Bread -- Close Fridge -- Place CounterTop -- Open Cabinet -- Close Cabinet -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- ToggleOff Toaster -- Place Toaster -- ToggleOn Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- ToggleOff Toaster -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- Pickup SaltShaker -- Place CounterTop -- Pickup Plate -- ToggleOn Faucet -- ToggleOff Faucet -- ToggleOn Faucet -- Place CounterTop -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- Pickup Lettuce -- Place CounterTop -- Pickup Fork -- Place CounterTop -- Pickup Plate -- Place Sink -- ToggleOn Faucet
830,"<<Commander>> let's make a salad <<Instruction>> <<Commander>> first you need to find the knife <<Instruction>> <<Commander>> we also need to slice up a tomoto <<Instruction>> <<Commander>> Okay, we need to slice the tomato with the knife <<Instruction>> <<Commander>> Now they must all go on a plate <<Instruction>> ",Pickup Bowl -- Place DiningTable -- Pickup Lettuce -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup WineBottle -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup LettuceSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate
831,"<<Commander>> could you make me breakfast please, can you start by making me a coffee? <<Instruction>> <<Commander>> great! <<FeedbackPositive>> Can you now make me a slice of toast? <<Instruction>> <<Commander>> are you able to pick up a thinner slice? <<Instruction>> <<Commander>> awesome <<FeedbackPositive>> can you put it on a plate and the cook 2 slices of potato for me? <<Instruction>> ",Pickup Mug -- Pour Sink -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Bread -- Place CounterTop -- Open Drawer -- Open Drawer -- Close Drawer -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Open Cabinet -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup Bread -- ToggleOff Toaster -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Open Fridge -- Pickup Potato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- Pickup PotatoSliced -- Place Pan -- ToggleOn StoveKnob -- Pickup Pan -- Place StoveBurner
832,<<Commander>> Hello. <<Greetings/Salutations>> First let's get the bread out of the fridge next to you <<Instruction>> <<Commander>> We will need to slice this and make 2 pieces of toast <<Instruction>> ,Open Fridge -- Pickup Bread -- Close Fridge -- Place CounterTop
833,<<Commander>> Today you will make a salad <<Instruction>> <<Commander>> first get the lettuce <<Instruction>> inside the microwave <<InformationOnObjectDetails>> <<Commander>> Slice the lettuce <<Instruction>> ,Open Microwave -- Pickup Lettuce -- Close Microwave -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop
834,<<Commander>> hi. <<Greetings/Salutations>> we will need to clean all the tableware today <<Instruction>> <<Commander>> it needs to be cleaned <<Instruction>> ,Pickup Lettuce -- Place CounterTop -- Pickup Apple -- Place CounterTop -- Pickup PaperTowelRoll -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CounterTop -- Pickup Bowl -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour 
835,"<<Commander>> clean mug <<Instruction>> <<Commander>> after you clean then place in coffeemaker <<Instruction>> <<Commander>> make a salad next <<Instruction>> <<Commander>> use knife in the fridge to slice lettuce <<Instruction>> <<Commander>> slice tomato next, <<Instruction>> tomato in the fridge <<InformationOnObjectDetails>> <<Commander>> slice potato next <<Instruction>> <<Commander>> slice tomato and potato <<Instruction>> <<Commander>> now potato <<Instruction>> <<Commander>> cook potato in the microwave <<Instruction>> <<Commander>> 1 slice <<Instruction>> <<Commander>> dont worry yet cook potato <<Instruction>> <<Commander>> plate in cabinet under potato <<Instruction>> <<Commander>> clean plate <<Instruction>> <<Commander>> then place all components on the same plate <<Instruction>> <<Commander>> place on the left side of the sink <<Instruction>> <<Commander>> and turn on wter <<Instruction>> <<Commander>> trust me <<Instruction>> <<Commander>> closer <<Instruction>> <<Commander>> move anything on there <<Instruction>> <<Commander>> make sure its clear <<Instruction>> <<Commander>> you need to place on the left side so remove anything on the surface <<Instruction>> <<Commander>> this is our only option <<Instruction>> <<Commander>> left side of sink not in sink <<Instruction>> <<Commander>> turn on water <<Instruction>> <<Commander>> place all components on plate <<Instruction>> <<Commander>> place all on countertop <<Instruction>> <<Commander>> coffee and plate <<Instruction>> <<Commander>> is the potato on the plate also <<Instruction>> <<Commander>> counter top <<Instruction>> <<Commander>> not sink <<Instruction>> <<Commander>> try next to the stove counter top <<Instruction>> <<Commander>> and its saying one more slice of lettuce <<Instruction>> ",Open Fridge -- Pickup SoapBottle -- Place Fridge -- Pickup Mug -- Close Fridge -- ToggleOff Faucet -- Pour  -- Place CounterTop -- Pickup Apple -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Knife -- Slice Lettuce -- Place Sink -- Open Fridge -- Pickup Tomato -- Close Fridge -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Slice Egg -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- ToggleOff Microwave -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Cabinet -- Pickup Plate -- Close Cabinet -- Place Floor -- Pickup EggCracked -- Place CounterTop -- Pickup DishSponge -- Place CounterTop -- Pickup Plate -- Place Sink -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup TomatoSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Open Microwave -- Pickup PotatoSliced -- Place Plate -- Close Microwave -- Pickup Plate -- Place Sink -- Pickup Mug -- Place CounterTop -- Pickup SoapBottle -- Place  -- Pickup TomatoSliced -- Place  -- Pickup TomatoSliced -- Place  -- Pickup Bread -- Place CounterTop -- Pickup LettuceSliced -- Place Plate -- Pickup Plate
836,<<Commander>> Please cook a potato in the microwave <<Instruction>> <<Commander>> Please slice it and put 3 slices in clean bowl <<Instruction>> ,Pickup Potato -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup SoapBottle -- Place CounterTop -- Open Fridge -- Pickup Bowl -- Close Microwave -- Place DiningTable -- Close Fridge -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place DiningTable -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place DiningTable -- Pickup ButterKnife -- Place DiningTable -- Pickup Potato
837,<<Commander>> We need 2 slices of bread <<Instruction>> <<Commander>> toast 2 slices of bread <<Instruction>> <<Commander>> slice lettuce <<Instruction>> <<Commander>> we need to clean plate <<Instruction>> <<Commander>> remove salt and clean the plate <<Instruction>> <<Commander>> remove things from sink and stop the water flow <<Instruction>> <<Commander>> then place plate <<Instruction>> ,Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Place CounterTop -- ToggleOff Microwave -- Open Microwave -- Pickup Lettuce -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Pickup Plate -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup SoapBottle -- Place CounterTop -- Pickup Plate -- Place CounterTop -- ToggleOff Faucet
838,"<<Commander>> We need to potao in the cabinet beneath the toaster <<Instruction>> <<Commander>> It needs to be boiled in water. <<Instruction>> <<Commander>> Nope. <<Deny>> It has to be boiled <<Instruction>> <<Commander>> in water <<Instruction>> <<Commander>> You should be able to do this in the bowl that is in the fridge. <<Instruction>> <<Commander>> Witht e microwave <<Instruction>> <<Commander>> with the microwave...Sorry for typo <<Instruction>> <<Commander>> empty bowl. place potato. then refill in the sink <<Instruction>> <<Commander>> If it won't let place, we'll have to use a pot <<Instruction>> <<Commander>> You'll need to clean that. <<Instruction>> <<Commander>> Try putting to potato in <<Instruction>> ",Open Cabinet -- Open Drawer -- Close Drawer -- Pickup Pan -- Place Cabinet -- Open Drawer -- Close Drawer -- Close Cabinet -- Open Cabinet -- Open Cabinet -- Pickup Mug -- Place CounterTop -- Close Cabinet -- Close Cabinet -- Open Fridge -- Pickup Potato -- Place CounterTop -- Pickup Knife -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup Apple -- Place CounterTop -- ToggleOff Faucet -- Pickup Bowl -- Place  -- Pickup Bowl -- Place DiningTable -- Pickup Potato -- Place DiningTable -- Pickup Pot -- Place CounterTop -- ToggleOff Microwave -- Open Microwave -- Pickup Cup -- Place CounterTop -- Pickup Bowl -- Pour  -- Place DiningTable -- Pickup Potato -- Place DiningTable -- Close Fridge -- Pickup Cup -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pan -- Place Floor -- Pickup Pot -- Place StoveBurner -- Pickup Potato -- Place Pot
839,<<Commander>> wash a mug out in the sink <<Instruction>> <<Commander>> wash it out <<Instruction>> <<Commander>> turn on water <<Instruction>> <<Commander>> if its clean grab it <<Instruction>> <<Commander>> grab coffe mug <<Instruction>> <<Commander>> coffee <<Instruction>> <<Commander>> wash <<Instruction>> <<Commander>> go to coffee maker <<Instruction>> <<Commander>> to your left <<Instruction>> <<Commander>> place on coffee maker <<Instruction>> <<Commander>> remove <<Instruction>> <<Commander>> place in sink <<Instruction>> <<Commander>> thats the mug i think we have to use <<Instruction>> <<Commander>> wash it and we will use that one <<Instruction>> <<Commander>> when you done place on the coffeemaker and start <<Instruction>> ,Pickup Mug -- Place CounterTop -- Pickup SaltShaker -- Place CounterTop -- Pickup Egg -- Place Sink -- Pickup Egg -- Place Sink -- Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine
840,"<<Commander>> please clean the mug on the stove and make coffee <<Instruction>> <<Commander>> now slice a tomato, lettuce and potato <<Instruction>> <<Commander>> cook two slices of potato in the microwave <<Instruction>> ",Pickup Mug -- Pour  -- ToggleOff Faucet -- ToggleOn Faucet -- Place CounterTop -- Pickup Tomato -- Place  -- Pickup Mug -- Place  -- ToggleOff Faucet -- ToggleOn Faucet -- Pickup DishSponge -- ToggleOff Faucet -- Place CounterTop -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Potato -- Place DiningTable -- Pickup Tomato -- Place DiningTable -- Pickup Lettuce -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Slice Tomato -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- ToggleOff Microwave -- Open Microwave -- Place Microwave -- Pickup PotatoSliced
841,<<Commander>> We need 2 slices of bread <<Instruction>> <<Commander>> toast 2 slices of bread <<Instruction>> <<Commander>> slice lettuce <<Instruction>> ,Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Place CounterTop -- ToggleOff Microwave -- Open Microwave -- Pickup Lettuce -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup LettuceSliced
842,<<Commander>> lets make breakfast <<Instruction>> <<Commander>> lets clean a coffee mug <<Instruction>> <<Commander>> okay lets rinse that in the sink <<Instruction>> <<Commander>> lets make a salad <<Instruction>> <<Commander>> first we need to find some lettuce <<Instruction>> ,Pickup ButterKnife -- Slice Potato -- Place CounterTop -- Pickup Cup -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Cup -- Pour  -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup SaltShaker -- Place CounterTop -- Pickup SoapBottle -- Place CounterTop -- Pickup ButterKnife -- Place CounterTop -- Open Fridge -- Pickup Plate -- Place CounterTop -- Close Fridge -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Mug -- Place CounterTop -- Open Fridge -- Pickup Lettuce -- Close Fridge -- Place CounterTop -- Pickup ButterKnife -- Slice Lettuce -- Place CounterTop
843,<<Commander>> make a slice of lettuce <<Instruction>> <<Commander>> make a slice of tomato using a knife <<Instruction>> <<Commander>> then cook 2 slices of potato slice it using a knife <<Instruction>> ,Pickup ButterKnife -- Slice Lettuce -- Place DiningTable -- Open Fridge -- Pickup Tomato -- Place Fridge -- Pickup Bowl -- Place Fridge -- Pickup Tomato -- Place Plate -- Pickup Potato -- Place Plate -- Pickup Plate -- Close Fridge -- Place DiningTable -- Pickup Potato -- Place DiningTable -- Pickup Tomato -- Place DiningTable -- Pickup ButterKnife -- Slice Tomato -- Place Stool -- Pickup Potato
844,"<<Commander>> Hello. <<Greetings/Salutations>> We need to make a plate of toast. <<Instruction>> <<Commander>> The bread needs to be sliced using a knife. <<Instruction>> <<Commander>> I am not sure. We will have to look around. <<Instruction>> <<Commander>> Okay. Put it in the toaster. <<Instruction>> <<Commander>> okay. We need to clean the plate. <<Instruction>> <<Commander>> Rinse with water in the sink. Then the toast needs to go on the plate. <<Instruction>> <<Commander>> ok. It says to rinse with water. Is there another way to rinse with water? <<Instruction>> <<Commander>> ok! Now put toast on the clean plate. <<Instruction>> <<Commander>> Alright. Next, cook 2 slices of Potato and serve on a plate. <<Instruction>> <<Commander>> The potato needs to be sliced using a knife. <<Instruction>> ",Open Fridge -- Close Fridge -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Cabinet -- Pickup Bread -- Place DiningTable -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup WineBottle -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup Spoon -- Place CounterTop -- Pickup Plate -- Place CounterTop -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- ToggleOn Faucet -- Pickup Plate -- Place  -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup Potato
845,<<Commander>> Now slice bread using knife from the fridge <<Instruction>> <<Commander>> now toast 2 slices each <<Instruction>> <<Commander>> now slice a lettuce <<Instruction>> ,Pickup Mug -- Place CounterTop -- Pickup SoapBottle -- Place CounterTop -- Pickup SaltShaker -- Place CounterTop -- Pickup SaltShaker -- Place CounterTop -- Pickup Bread -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Open Fridge -- Pickup Knife -- Close Fridge -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Open Fridge -- Close Fridge -- Open Microwave -- Open Cabinet -- Pickup Lettuce
846,<<Commander>> can you please make coffee? <<Instruction>> ,Pickup Mug -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug
847,<<Commander>> slice lettuce <<Instruction>> <<Commander>> after slicing the lettuce slice tomato <<Instruction>> ,Open Microwave -- Pickup Lettuce -- Place CounterTop -- Pickup ButterKnife -- Slice Lettuce -- Slice Tomato -- Place 
848,<<Commander>> make a ssndwich <<Instruction>> <<Commander>> make 2 slices of toast <<Instruction>> <<Commander>> slice it with aknife <<Instruction>> <<Commander>> press up button <<Instruction>> <<Commander>> toast the brerad <<Instruction>> <<Commander>> toast the bread <<Instruction>> <<Commander>> 2 slices right <<Instruction>> <<Commander>> ok then make  1 slice of tomato <<Instruction>> <<Commander>> 1 slice of tomato <<Instruction>> <<Commander>> slice it with a knife <<Instruction>> <<Commander>> slice it with a knife <<Instruction>> <<Commander>> clean the plate <<Instruction>> <<Commander>> rinse it with water in the sink <<Instruction>> <<Commander>> check the cabinet on the bottom left of the cooker <<Instruction>> <<Commander>> now rinse in the sink <<Instruction>> <<Commander>> all sandwich components on the plate now <<Instruction>> <<Commander>> please <<Instruction>> ,Pickup Bread -- Place CounterTop -- Pickup ButterKnife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup ButterKnife -- Slice Tomato -- Place CounterTop -- Open Cabinet -- Pickup Plate -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup Plate -- Place CounterTop -- ToggleOff Faucet -- Pickup Plate -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate
849,<<Commander>> grab the mug <<Instruction>> <<Commander>> wash it first <<Instruction>> <<Commander>> turn on water <<Instruction>> <<Commander>> take it to the coffee maker <<Instruction>> <<Commander>> go back to the sink <<Instruction>> <<Commander>> grab the black mug' <<Instruction>> <<Commander>> take to coffee maker <<Instruction>> ,Pickup Cup -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup Cup -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Cup -- Pour  -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine
850,<<Commander>> lets prepare breakfast <<Instruction>> <<Commander>> please make coffee in clean mug <<Instruction>> <<Commander>> grab a knife and slice the bread <<Instruction>> <<Commander>> toast 2 slices of bread <<Instruction>> <<Commander>> slice tomato <<Instruction>> ,Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Open Microwave -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop
851,<<Commander>> we need to make a salad <<Instruction>> <<Commander>> lets cut some lettuce first <<Instruction>> <<Commander>> slice the tomato please <<Instruction>> <<Commander>> we need the potato sliced please <<Instruction>> <<Commander>> and then 2 slices of it cooked <<Instruction>> <<Commander>> 2 slices of potato cooked please <<Instruction>> <<Commander>> you can used the microwave to cook them <<Instruction>> ,Pickup ButterKnife -- Slice Lettuce -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup ButterKnife -- Slice Tomato -- Close Cabinet -- Slice Potato -- Place Stool -- Pickup PotatoSliced -- Place CounterTop
852,"<<Commander>> First there are two mugs of coffee to be made, but one is dirty and has to be rinsed with water first <<Instruction>> <<Commander>> does moving back help so it's in line of sight? <<Instruction>> <<Commander>> yay!!! <<FeedbackPositive>> Now rinse it with water and fill both with coffee <<Instruction>> <<Commander>> once both have coffee in them, we've finished the first part <<Instruction>> <<Commander>> now the next one. <<Instruction>> <<Commander>> perfect! <<FeedbackPositive>> put both of those on the dining table <<Instruction>> <<Commander>> Next, slice the bread and toast 2 slices <<Instruction>> <<Commander>> now you need to slice the bread <<Instruction>> <<Commander>> slice with the knife, then toast 2 pieces <<Instruction>> <<Commander>> one more to toast <<Instruction>> ",Pickup Mug -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Fridge -- Pickup Mug -- Close Fridge -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place DiningTable -- Pickup Mug -- Place DiningTable -- Open Cabinet -- Close Cabinet -- Open Drawer -- Close Drawer -- Open Cabinet -- Pickup Knife -- Place CounterTop -- Pickup Bread -- Place CounterTop -- Close Cabinet -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced
853,<<Commander>> Slice lettuce <<Instruction>> <<Commander>> Cook potato <<Instruction>> <<Commander>> You can microwave it then slice <<Instruction>> ,Pickup Knife -- Slice Lettuce -- Place CounterTop -- Open Fridge -- Pickup Potato -- Close Fridge
854,"<<Commander>> Hey! <<Greetings/Salutations>> Can you make me a coffee please <<Instruction>> <<Commander>> thats ok, in which case can you make me a salad please <<Instruction>> <<Commander>> if you could slice some lettuce for me <<Instruction>> ",Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- Open Fridge -- Close Fridge -- Pickup Knife -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Slice Lettuce -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Open Cabinet
855,<<Commander>> clean a bowl <<Instruction>> <<Commander>> actually use the one next 2the sink <<Instruction>> <<Commander>> slice it <<Instruction>> ,Pickup Bowl -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup Knife -- Place CounterTop -- ToggleOff Faucet -- Pickup Bowl -- Place  -- ToggleOn Faucet -- Pickup Bowl -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato
